rank	uniprot	gene	entry	names	mean_z	z42	z43	z44	rank42	rank43	rank44
15	Q9BYF1	ACE2	ACE2_HUMAN	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	6.195918	5.741779	6.589968	6.256007	429	2464	314
16	Q07954	LRP1	LRP1_HUMAN	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]	6.083412	5.782276	6.438091	6.029869	67	2112	2667
17	P04626	ERBB2	ERBB2_HUMAN	Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340)	5.590895	5.800065	5.153999	5.818619	1547	3152	3168
18	Q01973	ROR1	ROR1_HUMAN	Inactive tyrosine-protein kinase transmembrane receptor ROR1 (Neurotrophic tyrosine kinase, receptor-related 1)	4.465267	4.310474	4.438124	4.647204	537	2161	3319
19	Q06418	TYRO3	TYRO3_HUMAN	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)	4.255783	4.300027	4.163523	4.303798	679	1553	2447
20	O75096	LRP4	LRP4_HUMAN	Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)	4.254810	4.115151	4.589655	4.059624	758	1985	2975
21	P58401	NRXN2	NRX2B_HUMAN	Neurexin-2-beta (Neurexin II-beta)	4.132174	4.235957	4.208864	3.951701	706	2210	2862
22	P29320	EPHA3	EPHA3_HUMAN	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	3.989314	3.787256	3.953460	4.227226	3079	587	1813
23	P16234	PDGFRA	PGFRA_HUMAN	Platelet-derived growth factor receptor alpha (PDGF-R-alpha) (PDGFR-alpha) (EC 2.7.10.1) (Alpha platelet-derived growth factor receptor) (Alpha-type platelet-derived growth factor receptor) (CD140 antigen-like family member A) (CD140a antigen) (Platelet-derived growth factor alpha receptor) (Platelet-derived growth factor receptor 2) (PDGFR-2) (CD antigen CD140a)	3.651084	3.620816	3.639562	3.692874	1938	2607	2886
24	P04629	NTRK1	NTRK1_HUMAN	High affinity nerve growth factor receptor (EC 2.7.10.1) (Neurotrophic tyrosine kinase receptor type 1) (TRK1-transforming tyrosine kinase protein) (Tropomyosin-related kinase A) (Tyrosine kinase receptor) (Tyrosine kinase receptor A) (Trk-A) (gp140trk) (p140-TrkA)	3.623969	3.559987	3.504677	3.807242	3058	960	960
25	P22897	MRC1	MRC1_HUMAN	Macrophage mannose receptor 1 (MMR) (C-type lectin domain family 13 member D) (C-type lectin domain family 13 member D-like) (Human mannose receptor) (hMR) (Macrophage mannose receptor 1-like protein 1) (CD antigen CD206)	3.596070	3.359900	3.568637	3.859674	324	3253	3253
26	P98164	LRP2	LRP2_HUMAN	Low-density lipoprotein receptor-related protein 2 (LRP-2) (Glycoprotein 330) (gp330) (Megalin)	3.450370	3.241506	3.543146	3.566459	1686	3096	3165
27	Q6UXD5	SEZ6L2	SE6L2_HUMAN	Seizure 6-like protein 2	3.431467	3.612050	3.448119	3.234231	1192	195	1198
28	Q08174	PCDH1	PCDH1_HUMAN	Protocadherin-1 (Cadherin-like protein 1) (Protocadherin-42) (PC42)	3.386944	3.388683	3.194774	3.577374	3434	3447	3314
29	P15144	ANPEP	AMPN_HUMAN	Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13)	3.213344	3.036075	3.205496	3.398460	179	2719	1576
30	P78310	CXADR	CXAR_HUMAN	Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR)	3.191473	2.983652	3.166642	3.424125	1600	2377	1383
31	Q07075	ENPEP	AMPE_HUMAN	Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (Differentiation antigen gp160) (CD antigen CD249)	3.176777	3.049231	3.155499	3.325600	2883	172	2386
32	P29317	EPHA2	EPHA2_HUMAN	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	3.138229	3.103890	2.989729	3.321067	2477	957	2135
33	P06756	ITGAV	ITAV_HUMAN	Integrin alpha-V (Vitronectin receptor) (Vitronectin receptor subunit alpha) (CD antigen CD51) [Cleaved into: Integrin alpha-V heavy chain; Integrin alpha-V light chain]	3.078804	2.869936	3.177557	3.188919	2915	683	1241
34	Q8N3J6	CADM2	CADM2_HUMAN	Cell adhesion molecule 2 (Immunoglobulin superfamily member 4D) (IgSF4D) (Nectin-like protein 3) (NECL-3) (Synaptic cell adhesion molecule 2) (SynCAM 2)	3.063971	2.696330	3.296419	3.199163	1997	3385	2858
35	P54760	EPHB4	EPHB4_HUMAN	Ephrin type-B receptor 4 (EC 2.7.10.1) (Hepatoma transmembrane kinase) (Tyrosine-protein kinase TYRO11)	2.946300	2.946720	2.790097	3.102083	2227	2884	3032
36	Q9UIK5	TMEFF2	TEFF2_HUMAN	Tomoregulin-2 (TR-2) (Hyperplastic polyposis protein 1) (Transmembrane protein with EGF-like and two follistatin-like domains)	2.903753	3.168179	2.691148	2.851933	2305	1208	2701
37	Q15303	ERBB4	ERBB4_HUMAN	Receptor tyrosine-protein kinase erbB-4 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-4) (Tyrosine kinase-type cell surface receptor HER4) (p180erbB4) [Cleaved into: ERBB4 intracellular domain (4ICD) (E4ICD) (s80HER4)]	2.781407	2.821796	2.885453	2.636970	1969	3046	953
38	Q13443	ADAM9	ADAM9_HUMAN	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)	2.773195	2.832943	2.592318	2.894324	3059	3056	737
39	P05556	ITGB1	ITB1_HUMAN	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	2.682807	2.885859	2.487159	2.675404	833	2672	1753
40	P27037	ACVR2A	AVR2A_HUMAN	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	2.675634	2.651752	2.627216	2.747933	3160	2742	2163
41	O95858	TSPAN15	TSN15_HUMAN	Tetraspanin-15 (Tspan-15) (Tetraspan NET-7) (Transmembrane 4 superfamily member 15)	2.602934	2.545549	2.694214	2.569038	2248	1517	3156
42	P25942	CD40	TNR5_HUMAN	Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40)	2.595111	2.513870	2.530400	2.741063	1232	2487	789
43	P20963	CD247	CD3Z_HUMAN	T-cell surface glycoprotein CD3 zeta chain (T-cell receptor T3 zeta chain) (CD antigen CD247)	2.578099	2.455700	2.517058	2.761539	2459	1869	3009
44	P30530	AXL	UFO_HUMAN	Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene)	2.575584	2.700951	2.572283	2.453519	875	2555	3441
45	P07333	CSF1R	CSF1R_HUMAN	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	2.562138	2.492069	2.554758	2.639588	1466	3220	2672
46	O15393	TMPRSS2	TMPS2_HUMAN	Transmembrane protease serine 2 (EC 3.4.21.122) (Serine protease 10) [Cleaved into: Transmembrane protease serine 2 non-catalytic chain; Transmembrane protease serine 2 catalytic chain]	2.521323	2.340518	2.560399	2.663050	707	2273	1266
47	P43121	MCAM	MUC18_HUMAN	Cell surface glycoprotein MUC18 (Cell surface glycoprotein P1H12) (Melanoma cell adhesion molecule) (Melanoma-associated antigen A32) (Melanoma-associated antigen MUC18) (S-endo 1 endothelial-associated antigen) (CD antigen CD146)	2.511839	2.309277	2.638099	2.588141	2702	1233	706
48	P54764	EPHA4	EPHA4_HUMAN	Ephrin type-A receptor 4 (EC 2.7.10.1) (EPH-like kinase 8) (EK8) (hEK8) (Tyrosine-protein kinase TYRO1) (Tyrosine-protein kinase receptor SEK)	2.403061	2.285250	2.335007	2.588928	2964	272	532
49	P05106	ITGB3	ITB3_HUMAN	Integrin beta-3 (Platelet membrane glycoprotein IIIa) (GPIIIa) (CD antigen CD61)	2.391782	2.759632	2.203067	2.212647	650	1294	1547
50	Q02487	DSC2	DSC2_HUMAN	Desmocollin-2 (Cadherin family member 2) (Desmocollin-3) (Desmosomal glycoprotein II) (Desmosomal glycoprotein III)	2.367950	2.306725	2.176561	2.620565	3151	3265	1691
51	Q96J84	KIRREL1	KIRR1_HUMAN	Kin of IRRE-like protein 1 (Kin of irregular chiasm-like protein 1) (Nephrin-like protein 1)	2.355853	2.330813	2.290407	2.446338	2874	3234	3171
52	Q04771	ACVR1	ACVR1_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	2.353151	2.280421	2.330357	2.448676	3297	1217	956
53	P21860	ERBB3	ERBB3_HUMAN	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)	2.343719	2.507792	2.259886	2.263480	2662	476	462
54	P43489	TNFRSF4	TNR4_HUMAN	Tumor necrosis factor receptor superfamily member 4 (ACT35 antigen) (OX40L receptor) (TAX transcriptionally-activated glycoprotein 1 receptor) (CD antigen CD134)	2.314653	2.287199	2.235993	2.420765	1377	2278	1236
55	P54756	EPHA5	EPHA5_HUMAN	Ephrin type-A receptor 5 (EC 2.7.10.1) (Brain-specific kinase) (EPH homology kinase 1) (EHK-1) (EPH-like kinase 7) (EK7) (hEK7)	2.295482	2.221873	2.202733	2.461842	3252	414	1771
56	P33151	CDH5	CADH5_HUMAN	Cadherin-5 (7B4 antigen) (Vascular endothelial cadherin) (VE-cadherin) (CD antigen CD144)	2.291854	2.291737	2.158677	2.425148	1765	1527	1765
57	O75197	LRP5	LRP5_HUMAN	Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7)	2.266650	2.354714	2.287442	2.157794	2509	2019	305
58	P09619	PDGFRB	PGFRB_HUMAN	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)	2.225400	2.190452	2.166251	2.319498	2004	3204	418
59	P21802	FGFR2	FGFR2_HUMAN	Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (K-sam) (KGFR) (Keratinocyte growth factor receptor) (CD antigen CD332)	2.213279	2.147160	2.251438	2.241239	2853	426	2853
60	Q8NFP4	MDGA1	MDGA1_HUMAN	MAM domain-containing glycosylphosphatidylinositol anchor protein 1 (GPI and MAM protein) (GPIM) (Glycosylphosphatidylinositol-MAM) (MAM domain-containing protein 3)	2.202492	2.224880	2.154894	2.227701	2157	1440	3346
61	P22607	FGFR3	FGFR3_HUMAN	Fibroblast growth factor receptor 3 (FGFR-3) (EC 2.7.10.1) (CD antigen CD333)	2.196839	2.193317	2.113376	2.283824	882	937	594
62	O00238	BMPR1B	BMR1B_HUMAN	Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293)	2.173036	2.079839	2.175170	2.264098	2717	654	1268
63	P07949	RET	RET_HUMAN	Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment]	2.125465	2.178226	1.989716	2.208454	3268	1441	475
64	P48740	MASP1	MASP1_HUMAN	Mannan-binding lectin serine protease 1 (EC 3.4.21.-) (Complement-activating component of Ra-reactive factor) (Mannose-binding lectin-associated serine protease 1) (MASP-1) (Mannose-binding protein-associated serine protease) (Ra-reactive factor serine protease p100) (RaRF) (Serine protease 5) [Cleaved into: Mannan-binding lectin serine protease 1 heavy chain; Mannan-binding lectin serine protease 1 light chain]	2.118689	2.115225	2.118438	2.122405	2161	2443	3077
65	P16671	CD36	CD36_HUMAN	Platelet glycoprotein 4 (Fatty acid translocase) (FAT) (Glycoprotein IIIb) (GPIIIB) (Leukocyte differentiation antigen CD36) (PAS IV) (PAS-4) (Platelet collagen receptor) (Platelet glycoprotein IV) (GPIV) (Thrombospondin receptor) (CD antigen CD36)	2.099674	1.978326	2.291827	2.028870	1476	2820	2394
66	O14786	NRP1	NRP1_HUMAN	Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304)	2.071100	1.965505	2.190683	2.057112	2008	1330	2901
67	O60462	NRP2	NRP2_HUMAN	Neuropilin-2 (Vascular endothelial cell growth factor 165 receptor 2)	2.062092	2.130085	2.152251	1.903942	3366	2795	417
68	P54753	EPHB3	EPHB3_HUMAN	Ephrin type-B receptor 3 (EC 2.7.10.1) (EPH-like tyrosine kinase 2) (EPH-like kinase 2) (Embryonic kinase 2) (EK2) (hEK2) (Tyrosine-protein kinase TYRO6)	2.036467	1.980435	1.937645	2.191321	191	1586	2233
69	P58335	ANTXR2	ANTR2_HUMAN	Anthrax toxin receptor 2 (Capillary morphogenesis gene 2 protein) (CMG-2)	2.002897	2.005894	2.059278	1.943519	1675	935	1528
70	P23229	ITGA6	ITA6_HUMAN	Integrin alpha-6 (CD49 antigen-like family member F) (VLA-6) (CD antigen CD49f) [Cleaved into: Integrin alpha-6 heavy chain; Integrin alpha-6 light chain; Processed integrin alpha-6 (Alpha6p)]	1.998450	2.008353	1.891446	2.095551	824	2439	1350
71	P10721	KIT	KIT_HUMAN	Mast/stem cell growth factor receptor Kit (SCFR) (EC 2.7.10.1) (Piebald trait protein) (PBT) (Proto-oncogene c-Kit) (Tyrosine-protein kinase Kit) (p145 c-kit) (v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog) (CD antigen CD117)	1.964561	1.914938	1.957388	2.021358	1776	1767	2296
72	P37023	ACVRL1	ACVL1_HUMAN	Activin receptor type-1-like (EC 2.7.11.30) (Activin receptor-like kinase 1) (ALK-1) (Serine/threonine-protein kinase receptor R3) (SKR3) (TGF-B superfamily receptor type I) (TSR-I)	1.960093	1.962090	1.879596	2.038592	136	1061	722
73	Q13797	ITGA9	ITA9_HUMAN	Integrin alpha-9 (Integrin alpha-RLC)	1.924128	1.944826	1.886052	1.941505	1521	202	717
74	Q96H15	TIMD4	TIMD4_HUMAN	T-cell immunoglobulin and mucin domain-containing protein 4 (TIMD-4) (T-cell immunoglobulin mucin receptor 4) (TIM-4) (T-cell membrane protein 4)	1.886875	1.841103	1.809913	2.009609	2900	1476	3335
75	Q9UIQ6	LNPEP	LCAP_HUMAN	Leucyl-cystinyl aminopeptidase (Cystinyl aminopeptidase) (EC 3.4.11.3) (Insulin-regulated membrane aminopeptidase) (Insulin-responsive aminopeptidase) (IRAP) (Oxytocinase) (OTase) (Placental leucine aminopeptidase) (P-LAP) [Cleaved into: Leucyl-cystinyl aminopeptidase, pregnancy serum form]	1.847010	1.883386	1.754708	1.902935	2987	1926	1891
76	Q13740	ALCAM	CD166_HUMAN	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)	1.810654	1.773666	1.764887	1.893410	2759	2632	455
77	Q9NZQ7	CD274	PD1L1_HUMAN	Programmed cell death 1 ligand 1 (PD-L1) (PDCD1 ligand 1) (Programmed death ligand 1) (hPD-L1) (B7 homolog 1) (B7-H1) (CD antigen CD274)	1.793566	1.725437	1.827654	1.827606	1264	1025	1613
78	Q92823	NRCAM	NRCAM_HUMAN	Neuronal cell adhesion molecule (Nr-CAM) (Neuronal surface protein Bravo) (hBravo) (NgCAM-related cell adhesion molecule) (Ng-CAM-related)	1.716356	1.775789	1.606354	1.766924	2535	2591	2166
79	O43914	TYROBP	TYOBP_HUMAN	TYRO protein tyrosine kinase-binding protein (DNAX-activation protein 12) (Killer-activating receptor-associated protein) (KAR-associated protein)	1.709342	1.699885	1.624709	1.803432	613	1765	171
80	P08174	CD55	DAF_HUMAN	Complement decay-accelerating factor (CD antigen CD55)	1.704652	1.681488	1.705379	1.727090	958	3168	2715
81	P40189	IL6ST	IL6RB_HUMAN	Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130)	1.696268	1.627782	1.726915	1.734108	550	2344	2737
82	Q9Y624	F11R	JAM1_HUMAN	Junctional adhesion molecule A (JAM-A) (Junctional adhesion molecule 1) (JAM-1) (Platelet F11 receptor) (Platelet adhesion molecule 1) (PAM-1) (CD antigen CD321)	1.681583	1.672892	1.585119	1.786739	236	2605	1310
83	P62079	TSPAN5	TSN5_HUMAN	Tetraspanin-5 (Tspan-5) (Tetraspan NET-4) (Transmembrane 4 superfamily member 9)	1.663862	1.546716	1.675829	1.769041	1282	2862	1751
84	P26006	ITGA3	ITA3_HUMAN	Integrin alpha-3 (CD49 antigen-like family member C) (FRP-2) (Galactoprotein B3) (GAPB3) (VLA-3 subunit alpha) (CD antigen CD49c) [Cleaved into: Integrin alpha-3 heavy chain; Integrin alpha-3 light chain]	1.644001	1.607109	1.645134	1.679760	2698	1656	324
85	P20273	CD22	CD22_HUMAN	B-cell receptor CD22 (B-lymphocyte cell adhesion molecule) (BL-CAM) (Sialic acid-binding Ig-like lectin 2) (Siglec-2) (T-cell surface antigen Leu-14) (CD antigen CD22)	1.627641	1.592892	1.569426	1.720605	141	2010	3351
86	O75581	LRP6	LRP6_HUMAN	Low-density lipoprotein receptor-related protein 6 (LRP-6)	1.624069	1.668260	1.591507	1.612440	1718	2428	2428
87	Q9NVM1	EVA1B	EVA1B_HUMAN	Protein eva-1 homolog B (Protein FAM176B)	1.621228	1.724574	1.617989	1.521121	1821	642	1373
88	P18564	ITGB6	ITB6_HUMAN	Integrin beta-6	1.619229	1.838264	1.462738	1.556685	1309	2319	837
89	Q14574	DSC3	DSC3_HUMAN	Desmocollin-3 (Cadherin family member 3) (Desmocollin-4) (HT-CP)	1.612403	1.614765	1.465934	1.756508	2842	3254	885
90	P50895	BCAM	BCAM_HUMAN	Basal cell adhesion molecule (Auberger B antigen) (B-CAM cell surface glycoprotein) (F8/G253 antigen) (Lutheran antigen) (Lutheran blood group glycoprotein) (CD antigen CD239)	1.587678	1.480718	1.688703	1.593614	1902	2150	1907
91	Q9NZ08	ERAP1	ERAP1_HUMAN	Endoplasmic reticulum aminopeptidase 1 (EC 3.4.11.-) (ARTS-1) (Adipocyte-derived leucine aminopeptidase) (A-LAP) (Aminopeptidase PILS) (Puromycin-insensitive leucyl-specific aminopeptidase) (PILS-AP) (Type 1 tumor necrosis factor receptor shedding aminopeptidase regulator)	1.555881	1.645274	1.439015	1.583355	325	919	1892
92	Q14118	DAG1	DAG1_HUMAN	Dystroglycan 1 (Dystroglycan) (Dystrophin-associated glycoprotein 1) [Cleaved into: Alpha-dystroglycan (Alpha-DG); Beta-dystroglycan (Beta-DG)]	1.541919	1.573320	1.418503	1.633935	1529	1657	3198
93	P08069	IGF1R	IGF1R_HUMAN	Insulin-like growth factor 1 receptor (EC 2.7.10.1) (Insulin-like growth factor I receptor) (IGF-I receptor) (CD antigen CD221) [Cleaved into: Insulin-like growth factor 1 receptor alpha chain; Insulin-like growth factor 1 receptor beta chain]	1.536329	1.509746	1.458998	1.640242	2911	2084	1780
94	P08648	ITGA5	ITA5_HUMAN	Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain]	1.516032	1.441738	1.550179	1.556179	1727	252	520
95	P17301	ITGA2	ITA2_HUMAN	Integrin alpha-2 (CD49 antigen-like family member B) (Collagen receptor) (Platelet membrane glycoprotein Ia) (GPIa) (VLA-2 subunit alpha) (CD antigen CD49b)	1.509184	1.572432	1.429444	1.525678	2765	2253	1880
96	Q9UKX5	ITGA11	ITA11_HUMAN	Integrin alpha-11	1.485720	1.524845	1.416563	1.515753	2880	759	1742
97	Q12866	MERTK	MERTK_HUMAN	Tyrosine-protein kinase Mer (EC 2.7.10.1) (Proto-oncogene c-Mer) (Receptor tyrosine kinase MerTK)	1.483201	1.542198	1.475723	1.431681	1227	1135	3002
98	P11362	FGFR1	FGFR1_HUMAN	Fibroblast growth factor receptor 1 (FGFR-1) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1) (BFGFR) (bFGF-R-1) (Fms-like tyrosine kinase 2) (FLT-2) (N-sam) (CD antigen CD331)	1.471286	1.441710	1.465652	1.506498	2718	3271	3195
99	P34741	SDC2	SDC2_HUMAN	Syndecan-2 (SYND2) (Fibroglycan) (Heparan sulfate proteoglycan core protein) (HSPG) (CD antigen CD362)	1.464999	1.466019	1.371167	1.557810	1194	265	1500
100	P13612	ITGA4	ITA4_HUMAN	Integrin alpha-4 (CD49 antigen-like family member D) (Integrin alpha-IV) (VLA-4 subunit alpha) (CD antigen CD49d)	1.455676	1.525333	1.380813	1.460882	2760	995	2149
